title;inn;address;supervisor;phone
"Общество с ограниченной ответственностью ""КУПОЛ""";7840065006;105037, Г.Москва, вн.тер. г. Муниципальный Округ Измайлово, ул Первомайская, дом 18, помещение 1/1, комната 12;Константин Егоров;79011112233
"ООО ""КОНКУРЕНТНЫЕ ЗАКУПКИ""";9705008037;105037, Г.Москва, вн.тер. г. Муниципальный Округ Измайлово, ул Первомайская, дом 18, помещение 1/1, комната 12;Дмитрий Лапин;79011112245
"ООО ""АСТ ГОЗ""";7728312865;105037, Г.Москва, вн.тер. г. Муниципальный Округ Измайлово, ул Первомайская, дом 18, помещение 1/1, комната 12;Джурмат Арноби;79011112257
"ООО ""Тильда Паблишинг""";7722391042;105066, Москва г, Спартаковская ул, дом № 2А, строение 2;Филипп Тревор;79011112269
"ООО ""АРГОН""";7810354635;105066, Москва г, Спартаковская ул, дом № 2А, строение 2;Константин Егоров;79011112281
"ООО ""АТРИУМСТРОЙ""";7802521138;105187, Москва г, Кирпичная ул, дом № 32, корпус 24;Дмитрий Лапин;79011112293
"ООО ""СТРОЙПЕРСПЕКТИВА""";7810836244;107140, Москва г, Краснопрудная ул, дом № 26;Джурмат Арноби;79011112305
"ООО ""СК ПЕТРОСОЮЗ""";7841018930;109263, Москва г., Шкулева ул, д.15/18, кор.1;Константин Егоров;79011112317
"ООО ""СТРОЙТЕХМОНТАЖ""";3528247160;109428, Москва г, Рязанский пр-кт, дом № 24, корпус 2;Дмитрий Лапин;79011112329
"ООО ""Весна""";5614068440;109451, Москва г, Братиславская ул, дом № 16, корпус 1, квартира Пом.3;Джурмат Арноби;79011112341
"ООО  ""СТРОЙСТИЛЬ""";1840021618;109451, Москва г, Братиславская ул, дом № 16, корпус 1, квартира Пом.3;Филипп Тревор;79011112353
"СПБООИ ""СОЮЗСПОРТТЕАТР""";7825119458;109469, Москва г, Братиславская ул, дом № 29, корпус 1;Константин Егоров;79011112365
"ОАО ""Мостострой №6""";7812046562;111024, Москва г, Авиамоторная ул, дом № 50, строение 2, офис 342;Дмитрий Лапин;79011112377
"ООО ""СПИК ИНТЕРНАЦИОНАЛЕ С.Р.Л."" ";9909421570;111024, Москва г, Авиамоторная ул, дом № 50, строение 2, офис 342;Джурмат Арноби;79011112389
"ООО ""СМУ N 1""";5260234539;111024, Москва г, Авиамоторная ул, дом № 50, строение 2, офис 342;Константин Егоров;79011112401
"ООО ""СтройТехСистема""";3435114143;111024, Москва г, Андроновское ш, дом № 26, строение 17, оф.11;Дмитрий Лапин;79011112413
"Комитет финансов г.Санкт-Петербург (ГБУДО ДДТ ""Фонтанка-32"")";7825426794;115114, Москва г, Кожевническая ул, дом 14, строение 5;Филипп Тревор;79011112437
"Общество с ограниченной ответственностью ""Корпорация Акционерной Компании ""Электросевкавмонтаж""";2312065504;115114, Москва г, Кожевническая ул, дом 14, строение 5;Константин Егоров;79011112449
"Общество с ограниченной ответственностью ""СДК""";7813270180;115280, Москва г, Велозаводская ул, дом № 9;Дмитрий Лапин;79011112461
Филиал АО «Концерн Росэнергоатом» «Нововоронежская атомная станция»;7721632827;115280, Москва г, Велозаводская ул, дом № 9;Джурмат Арноби;79011112473
"ПАО ""ФСК ЕЭС""";4716016979;115409, Москва г, Каширское ш, дом 58, корпус 3;Константин Егоров;79011112485
"Общество с ограниченной ответственностью ""ЮСКОМ""";6118008728;115409, Москва г, Каширское ш, дом 58, корпус 3;Дмитрий Лапин;79011112497
"Акционерное общество ""Интер РАО - Электрогенерация""";7704784450;115409, Москва г, Каширское ш, дом 58, корпус 3;Джурмат Арноби;79011112509
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ТИТАН-2""";7827004484;115419, Москва г, Рощинский 2-й проезд, дом № 8, корпус 4;Филипп Тревор;79011112521
"ООО ""ТЭСЛА СПБ""";7811737278;115419, Москва г, Рощинский 2-й проезд, дом № 8, корпус 4;Константин Егоров;79011112533
"ООО ""Северное РСО""";7810538939;117186, Москва г, Нагорная ул, дом № 15, корпус 8;Джурмат Арноби;79011112557
"ООО ""Госзаказ.ру""";5404481676;117186, Москва г, Нагорная ул, дом № 15, корпус 8;Константин Егоров;79011112569
"ООО ""Антарес""";7810590512;117535, Москва г, Дорожная ул, дом № 34, корпус 2, квартира 4;Дмитрий Лапин;79011112581
"ООО ""РМТ ""Стройконтакт""";7826039822;117545, Москва г, Дорожный 1-й проезд, дом № 6, строение 6;Джурмат Арноби;79011112593
"ООО ""ОПМ-СПБ""";7802846947;117545, Москва г, Дорожный 1-й проезд, дом № 6, строение 6;Филипп Тревор;79011112605
"ООО ""ИНТЕРКОНЦЕРН""";7826172750;117997, Москва г, Вавилова ул, дом № 19;Константин Егоров;79011112617
"ООО ""ТЕХНИКА СЕВЕРО-ЗАПАД""";7816546911;119017, Москва г, Погорельский пер, дом 7, строение 2;Дмитрий Лапин;79011112629
"ООО ""ГРАНД-СТЭЙЛ""";7726751289;119017, Москва г, Погорельский пер, дом 7, строение 2;Джурмат Арноби;79011112641
"ООО ""ЮЛМАРТ РСК""";7814522256;119435, Москва г, Пироговская Б. ул, дом № 27, корпус 2;Константин Егоров;79011112653
"ООО ""ОнЛайн Трейд""";7735092378;119435, Москва г, Погодинская ул, дом № 20/3, строение 1;Дмитрий Лапин;79011112665
"ООО ""КОМПАНИЯ КЕРОМАГ""";7841501470;119435, Москва г, Саввинский Б. пер, дом № 2-4-6, корпус 10;Джурмат Арноби;79011112677
"ООО ""АММ""";7814164339;123022, Москва г, Красная Пресня ул, дом № 24;Филипп Тревор;79011112689
"ООО ""БАЗА СНАБЖЕНИЯ СДА""";5190040287;123022, Москва г, Красная Пресня ул, дом № 24;Константин Егоров;79011112701
"ООО ""Промэлектросвет""";5190306025;123112, Москва г, наб. Пресненская, дом 10, помещение I, этаж 41, комната 6;Дмитрий Лапин;79011112713
"ГУП ""Водоканал Санкт-Петербурга""";7830000426;123112, Москва г, наб. Пресненская, дом 10, помещение I, этаж 41, комната 6;Джурмат Арноби;79011112725
"ООО ""СЕВЕРНЫЙ ПОТОК""";7810451445;123112, Москва г, наб. Пресненская, дом 10, помещение I, этаж 41, комната 6;Константин Егоров;79011112737
"ООО ""Строй-Эксперт Консалт""";7816543847;123610, Россия, Москва г, Краснопресненская наб, дом № 12, подъезд 7;Дмитрий Лапин;79011112749
"ООО ""ЭДЕН СПРИНГС""";7718151150;125080, Москва г, Волоколамское ш, дом № 1, строение 1, помещение 1, комната 88;Джурмат Арноби;79011112761
"ООО ""Стройсервис""";7806413817;125080, Москва г, Волоколамское ш, дом № 1, строение 1, помещение 1, комната 88;Филипп Тревор;79011112773
"ООО ""К2""";7801637965;125190, Москва г, Ленинградский пр-кт, дом № 80, корпус 17;Константин Егоров;79011112785
"ООО ""Международный Центр Сертификации""";7839023971;125190, Москва г, Ленинградский пр-кт, дом № 80, корпус 17;Дмитрий Лапин;79011112797
"ЗАО ""Спецстройизоляция""";7826675419;127247, Москва г, Дмитровское ш, дом № 90, корпус 1, помещение XXIII, комн.1;Джурмат Арноби;79011112809
"ЧОУ ""Учебный центр ""ПЕРСПЕКТИВА""";7801350296;127247, Москва г, Дмитровское ш, дом № 90, корпус 1, помещение XXIII, комн.1;Константин Егоров;79011112821
"ООО ""ПрофМастер""";7814568927;140415, Московская обл, Коломна г, Канатный пр, дом № 2;Дмитрий Лапин;79011112833
"ООО ""Торговый дом ""Стройэлемент""";7810855840;140415, Московская обл, Коломна г, Канатный пр, дом № 2;Джурмат Арноби;79011112845
"ООО ""ПЕРВАЯ МЕТАЛЛОБАЗА""";7825690220;140415, Московская обл, Коломна г, Канатный пр, дом № 2;Филипп Тревор;79011112857
"ООО ""МЦ ""ПАНАЦЕЯ""";7814146280;141981, Московская обл, Дубна г, Промышленная ул, дом № 6;Константин Егоров;79011112869
"ООО ""ФРЕГАТ ПЛЮС""";7811076116;141981, Московская обл, Дубна г, Промышленная ул, дом № 6;Дмитрий Лапин;79011112881
"ООО ""ЭИТ""";7811466740;142601, Московская обл, Орехово-Зуево г, Бабушкина ул, дом № 2, корпус А;Джурмат Арноби;79011112893
"ООО""НПФ""СИНДИК""";7809003872;143441, Московская обл., Красногорский район, пос. Путилово, 69 км МКАД, стр. 3;Константин Егоров;79011112905
"ООО ""КОНТЕЙНЕРНЫЙ ЦЕНТР""";7841495234;143903, Московская обл, Балашихинский р-н, Балашиха г, мкр.ВНИИПО, дом № 12;Дмитрий Лапин;79011112917
"ООО ""КОМПАНИЯ ТРИАДА""";7806166477;150001, Ярославская обл, Ярославль г, Московский пр-кт, дом № 12;Джурмат Арноби;79011112929
"ООО  ""АЛЬПАРИ""";7816369010;150001, Ярославская обл, Ярославль г, Московский пр-кт, дом № 12;Филипп Тревор;79011112941
"ЗАО ""МЕТ.ИЗ""";4703073391;16100, ул. Энергии, мкр. 20, п/я-37 Улан-Батор, МОНГОЛИЯ;Константин Егоров;79011112953
"ООО ""РТА""";7810502516;16100, ул. Энергии, мкр. 20, п/я-37 Улан-Батор, МОНГОЛИЯ;Дмитрий Лапин;79011112965
"ООО ""Икс-ком Питер""";7802537650;162602, Вологодская обл, Череповец г, Ленина ул, дом № 54, офис 3;Джурмат Арноби;79011112977
"ООО ""КОРСЕЛ""";7806489580;162602, Вологодская обл, Череповец г, Ленина ул, дом № 54, офис 3;Константин Егоров;79011112989
"ООО ""МИСТЕР КЛИМАТ""";7802809021;162602, Вологодская обл, Череповец г, Ленина ул, дом № 54, офис 3;Дмитрий Лапин;79011113001
"ООО ""ПРОМАЛЬП-С""";7842489709;162603, Вологодская обл, Череповец г, Безымянная ул, дом № 6, строение 1, офис 5;Джурмат Арноби;79011113013
"ООО ""РУСЬХИМ""";7805574258;162603, Вологодская обл, Череповец г, Безымянная ул, дом № 6, строение 1, офис 5;Филипп Тревор;79011113025
"ООО ""ВОСТОК""";7842076451;162603, Вологодская обл, Череповец г, Безымянная ул, дом № 6, строение 1, офис 5;Константин Егоров;79011113037
"ООО ""КОМПАНИЯ ЭКОПРОМ-СЕРВИС""";7804483921;162603, Вологодская обл, Череповецкий р-н, Безымянная, дом № 6, офис 12/1;Дмитрий Лапин;79011113049
"ООО ""ДЕЛЬТЕКС""";7806182373;162604, Вологодская обл, Череповец г, П.Окинина, дом № 1, квартира 5;Джурмат Арноби;79011113061
"ООО ""АВТОЛАЙН ПЛЮС""";7814613714;162604, Вологодская обл, Череповец г, П.Окинина, дом № 1, квартира 5;Константин Егоров;79011113073
"ООО ""СЗМК""";7805628810;162626, Вологодская обл, г.Череповец , ул.Раахе, дом № 62, офис 5;Дмитрий Лапин;79011113085
"ООО ""Энтузиаст-С""";6319060894;162626, Вологодская обл, г.Череповец , ул.Раахе, дом № 62, офис 5;Джурмат Арноби;79011113097
"ООО ""РОСТ""";7811443140;162626, Вологодская обл, г.Череповец , ул.Раахе, дом № 62, офис 5;Филипп Тревор;79011113109
"ООО ЭлектроТрейд""";7811564000;162626, Вологодская обл, Череповец г, Раахе ул, дом № 62, офис 5;Константин Егоров;79011113121
"ООО ""ПлитТорг-С""";7810333177;162626, Вологодская обл, Череповец г, Раахе ул, дом № 62, офис 5;Дмитрий Лапин;79011113133
"ООО ""Тимпласт-Стройматериалы""";7814562971;162626, Вологодская обл, Череповец г, Раахе ул, дом № 62, офис 5;Джурмат Арноби;79011113145
"ООО ""МЕТАЛЛ-ЦЕНТР""";7801587714;165650, Область Архангельская, г. Коряжма, ул.Чапаева, дом № 1, Кабинет 9;Константин Егоров;79011113157
"ООО ""СМАРТ""";7802838907;165650, Область Архангельская, г. Коряжма, ул.Чапаева, дом № 1, Кабинет 9;Дмитрий Лапин;79011113169
"ООО ""Баннер""";7802564283;165650, Область Архангельская, г. Коряжма, ул.Чапаева, дом № 1, Кабинет 9;Джурмат Арноби;79011113181
"ООО ""Йотун Пэйнтс""";7805360880;173003, Новгородская обл, г. Новгород, Мусы Джалиля-Духовская, дом № 23, этаж 1, кабинет 14;Филипп Тревор;79011113193
"ООО ""ПромИнком""";7806197355;173003, Новгородская обл, г. Новгород, Мусы Джалиля-Духовская, дом № 23, этаж 1, кабинет 14;Константин Егоров;79011113205
"ООО ""РАСТ""";7810384380;173003, Новгородская обл, г. Новгород, Мусы Джалиля-Духовская, дом № 23, этаж 1, кабинет 14;Дмитрий Лапин;79011113217
"ООО ""ИнтерПром""";7838042499;180016, Псковская обл, городской округ город Псков, Рижский пр-кт, дом № 31, помещение 1011;Джурмат Арноби;79011113229
"ООО ""Стекольный мир-СПб""";7805495278;180016, Псковская обл, городской округ город Псков, Рижский пр-кт, дом № 31, помещение 1011;Константин Егоров;79011113241
"ООО ""СМС""";7806497599;185000, Карелия Респ, Петрозаводск, Свердлова, дом № 3, кв.59;Дмитрий Лапин;79011113253
"ООО ""КОМСТРОЙ""";7805657063;185002, Карелия Респ, Петрозаводск г, Суоярвская ул, дом № 8, помещение 42, Кабинет 310;Джурмат Арноби;79011113265
"ООО ""ФОРТРЕНТ""";7806131019;185002, Карелия Респ, Петрозаводск г, Суоярвская ул, дом № 8, помещение 42, Кабинет 310;Филипп Тревор;79011113277
"ООО ""Дамаск""";7842332923;185002, Карелия Респ, Петрозаводск г, Суоярвская ул, дом № 8, помещение 42, Кабинет 310;Константин Егоров;79011113289
"ООО ""КОМПЛЕКТ""";7802563755;185002, Республика Карелия, г.Петрозаводск , ул. Прионежская, дом № 23;Дмитрий Лапин;79011113301
"ООО ""ПАРТА""";7802811398;185002, Республика Карелия, г.Петрозаводск , ул. Прионежская, дом № 23;Джурмат Арноби;79011113313
"ООО ""ВЦПТ СМК""";7826047012;185002, Республика Карелия, г.Петрозаводск , ул. Прионежская, дом № 23;Константин Егоров;79011113325
"ООО ""Медхит""";7839041441;185031, Карелия Респ, Петрозаводск г, Заводская ул, дом №4;Дмитрий Лапин;79011113337
"ООО ""Торговый дом Северо-Западный""";7825444144;185031, Карелия Респ, Петрозаводск г, Инженерная ул, дом № 21, квартира 52;Джурмат Арноби;79011113349
"ООО ""БалтМонолитСтрой""";7816565752;185031, Карелия Респ, Петрозаводск г, Инженерная ул, дом № 21, квартира 52;Филипп Тревор;79011113361
"ООО ""Полинком""";7805566000;187000, Ленинградская область, г. Тосно, пр.Ленина д.32;Константин Егоров;79011113373
"ООО ""Комус-Петербург""";7839005130;187000, Ленинградская область, г. Тосно, пр.Ленина д.32;Дмитрий Лапин;79011113385
"ООО ""Клиар""";7814167146;188360, Ленинградская обл, Гатчинский р-н, Войсковицы п, Промзона 1 тер, дом № Участок 6, 7;Джурмат Арноби;79011113397
"ООО ""ПетроСтронг""";7842456407;188360, Ленинградская обл, Гатчинский р-н, Войсковицы п, Промзона 1 тер, дом № Участок 6, 7;Константин Егоров;79011113409
"ООО ""ЮЛАНА СПБ""";7842459542;188360, Ленинградская обл, Гатчинский р-н, Войсковицы п, Промзона 1 тер, дом № Участок 6, 7;Дмитрий Лапин;79011113421
"ООО ""Балт-Строй""";7801399887;188490, Ленинградская обл, Кингисеппский р-н, Ивангород г, Маяковского ул, дом № 5;Джурмат Арноби;79011113433
"ООО ""Кайрос""";7839502702;188661, Карелия респ, Петрозаводск г, Кирова, дом 43;Филипп Тревор;79011113445
"ООО ""ВАЙТ""";7807339482;188661, Россия, Ленинградская область, Всеволожский р-н, п/о Ново-Девяткино;Константин Егоров;79011113457
"ООО ""АЛГОРИТМ""";7838439215;190000, Санкт-Петербург г, Лермонтовский пр-кт, дом № 37/153, корпус А, оф.1Н;Дмитрий Лапин;79011113469
"ООО ""СпецПромЗащита""";7804281386;190000, Санкт-Петербург г, Новочеркасский пр-кт, дом № 32 лит.Б, пом.8Н;Джурмат Арноби;79011113481
"ООО ""СЗК""";7811161883;190000, Санкт-Петербург г, Реки Фонтанки наб, дом № 38, лит.А, пом.22Н;Константин Егоров;79011113493
"ООО ""ТДМ""";7811565205;190000, Санкт-Петербург г, Реки Фонтанки наб, дом № 38, лит.А, пом.22Н;Дмитрий Лапин;79011113505
"ООО ""ЭКСТАТИК""";7814156137;190000, Санкт-Петербург г, Серебристый б-р, дом № 21, литера А, помещение 7Н;Джурмат Арноби;79011113517
"ООО КОМПАНИЯ ""СПЛАВ""";7720019512;190000, Санкт-Петербург г, Циолковского ул, дом № 13-15, литер Ж;Филипп Тревор;79011113529
"ООО ""ГЕКТОР""";7817334268;"190005, РФ, г.Санкт-Петербург, Измайловский пр., д.18 ""д""";Константин Егоров;79011113541
"ООО ""Боб-Сервис""";7805313922;190005, Санкт-Петербург г, 7-я Красноармейская ул, дом № 15, литера А, помещение 3-Н, офис 7;Дмитрий Лапин;79011113553
"ООО ""Успех""";7816438169;190005, Санкт-Петербург г, 7-я Красноармейская ул, дом № 15, литера А, помещение 3-Н, офис 7;Джурмат Арноби;79011113565
"ООО ""Веселый Водовоз""";7816453294;190005, Санкт-Петербург г, 7-я Красноармейская ул, дом № 15, литера А, помещение 3-Н, офис 7;Константин Егоров;79011113577
"ООО ""ТЕХНОБАЛТСНАБ""";7825508750;190005, Санкт-Петербург, ул. 7-я Красноармейская, д.9,  лит.А, пом.1Н;Дмитрий Лапин;79011113589
"ООО ""Стройметиз""";7826682663;190005, Санкт-Петербург, ул. 7-я Красноармейская, д.9,  лит.А, пом.1Н;Джурмат Арноби;79011113601
"ООО ""СЕЛЛЕР""";7725791850;190013, Санкт-Петербург г, Рузовская ул, дом № 11;Филипп Тревор;79011113613
"ООО ""Форум""";7842429178;190013, Санкт-Петербург г, Рузовская ул, дом № 11;Константин Егоров;79011113625
"ООО ""Поверкон""";5402006114;190013, Санкт-Петербург, Санкт-Петербург, пр.Московский, дом № 28, тел./факс: (812)301-98-10;Дмитрий Лапин;79011113637
"ООО ""ОлФоВотер""";6027132245;190013, Санкт-Петербург, Санкт-Петербург, пр.Московский, дом № 28, тел./факс: (812)301-98-10;Джурмат Арноби;79011113649
"ООО ""ПНЕВМОМАШ""";7814573980;190020, Санкт-Петербург г, Обводного канала наб, дом № 134-136-138, литера ВМ, помещение 13-Н, офис 528;Константин Егоров;79011113661
"ООО ""СТС""";7839506680;190020, Санкт-Петербург г, Обводного канала наб, дом № 134-136-138, литера ВМ, помещение 13-Н, офис 528;Дмитрий Лапин;79011113673
"ООО ""НВ ТЕХНИКА""";7807124173;190020, Санкт-Петербург г, Обводного канала наб, дом № 134-136-138, литера ВМ, помещение 13-Н, офис 528;Джурмат Арноби;79011113685
"ООО ""СЭТ строительное оборудование""";7802865548;190020, Санкт-Петербург г, Обводного Канала наб, дом № 138, корпус 1, квартира 421;Филипп Тревор;79011113697
"ООО ""ЭКОТРАК""";7839366457;190020, Санкт-Петербург г, Обводного Канала наб, дом № 138, корпус 1, квартира 421;Константин Егоров;79011113709
"ООО ""ПАРТНЕР""";6732061845;190020, Санкт-Петербург г, Обводного Канала наб, дом № 138, корпус 1, квартира 421;Дмитрий Лапин;79011113721
"ООО ""БелАК-Рус""";7839039675;190031, Санкт-Петербург г, Гороховая ул, дом № 47, литера Б, этаж 5;Джурмат Арноби;79011113733
"ООО ""Мальстрем""";7813112761;190068, Санкт-Петербург г, Глинки ул, дом № 8, литера А;Константин Егоров;79011113745
"ООО ""Санитарная служба""";7805615264;190068, Санкт-Петербург г, Глинки ул, дом № 8, литера А;Дмитрий Лапин;79011113757
"ООО ""ЛАВРСКОЕ""";7801440736;190068, Санкт-Петербург г, Глинки ул, дом № 8, литера А;Джурмат Арноби;79011113769
"ООО ""МаксимуМ""";7842408957;190098, Санкт-Петербург г, Конногвардейский б-р, дом № 19;Филипп Тревор;79011113781
"ООО ""ТФ ЛИСКОМ""";7804552124;190121, Санкт-Петербург г, Декабристов ул, дом № 62-64, лит А, оф.11Н;Константин Егоров;79011113793
"ООО ""НОРД-НДТ""";7726696373;190121, Санкт-Петербург г, Декабристов ул, дом № 62-64, лит.А, пом.11-Н;Дмитрий Лапин;79011113805
"ООО ""Максидом""";7804064663;191002, Санкт-Петербург г, Разъезжая ул, дом № 8, литера А, помещение 3-Н, офис 106;Джурмат Арноби;79011113817
"ООО ""Ода""";7842004746;191014, Санкт-Петербург г, Маяковского ул, дом № 50, корпус Литер Б;Константин Егоров;79011113829
"ООО ""Гермес""";7814618455;191014, Санкт-Петербург г, Маяковского ул, дом № 50, оф.3Н;Дмитрий Лапин;79011113841
"ООО ""ТЦ ""ИНСТРУМЕНТ-СЕРВИС""";7826673404;191014, Санкт-Петербург г, Маяковского ул, дом № 50, оф.3Н;Джурмат Арноби;79011113853
"ООО ""СТК ФАВОРИТ""";7807096367;191014, Санкт-Петербург г, Некрасова ул, дом № 60, лит. А, кор. пом. 44Н;Филипп Тревор;79011113865
"ООО ""СПЕКТР""";7805469366;191014, Санкт-Петербург г, Некрасова ул, дом № 60, лит. А, кор. пом. 44Н;Константин Егоров;79011113877
"ООО ""ФАП""";7804343730;191014, Санкт-Петербург, улица Некрасова дом 40 лит А пом. 31-Н;Дмитрий Лапин;79011113889
"ООО ""Строй-Маркет СПб""";7804492933;191014, Санкт-Петербург, улица Некрасова дом 40 лит А пом. 31-Н;Джурмат Арноби;79011113901
"ООО ""МИРА""";7839039040;191023, Санкт-Петербург г, Апраксин пер, дом № 9, корпус А;Константин Егоров;79011113913
"ООО ""Проект Сервис""";7813480589;191024, Санкт-Петербург г, 4-я Советская ул, дом № 34-36, литера А, помещение 5Н, офис 10;Дмитрий Лапин;79011113925
"ООО ""СБ ИНЖИНИРИНГ""";7807074148;191024, Санкт-Петербург г, 4-я Советская ул, дом № 34-36, литера А, помещение 5Н, офис 10;Джурмат Арноби;79011113937
"ООО ""КомпасЛидера""";7806436356;191024, Санкт-Петербург г, 4-я Советская ул, дом № 34-36, литера А, помещение 5Н, офис 10;Филипп Тревор;79011113949
"ООО ""ИАТ Премиум""";7814316768;191024, Санкт-Петербург г, Миргородская ул, дом № 1, Лит. А;Константин Егоров;79011113961
"ООО ""Юг-Техноавиа""";6163051901;191024, Санкт-Петербург г, Миргородская ул, дом № 1, Лит. А;Дмитрий Лапин;79011113973
"ЧОУ ДПО ""УЦВ""";6143090388;191025, Санкт-Петербург г, Невский пр-кт, дом № 51, квартира 20/7;Джурмат Арноби;79011113985
"ООО ""СИРИУС СПБ""";7805643487;191025, Санкт-Петербург г, Невский пр-кт, дом № 51, квартира 20/7;Константин Егоров;79011113997
"ООО ""Медицинская компания ""Медсанчасть""";6143057983;191025, Санкт-Петербург г, Невский пр-кт, дом № 51, квартира 20/7;Дмитрий Лапин;79011114009
